Source_Station_Name,Destination_Station_Name,Train_Count
NANGAL DAM,AMBALA CANTT JN,3
COONOOR,UDHAGAMANDALAM,3
SECUNDERABAD JN.,KAKINADA TOWN,3
JIND JN,DELHI JN.,3
KACHEGUDA,NIZAMABAD,3
DURG,DALLI-RAJHARA,3
KASGANJ JN.,FARRUKHABAD JN,3
CHHOTA UDEPUR,VADODARA JN.,3
KULEM,VASCO-DA-GAMA,3
VARANASI CITY,CHHAPRA JN.,3
DHULE,CHALISGAON JN.,3
BALHARSHAH,GONDIA JN.,3
ARA,SASARAM,3
SASARAM,ARA,3
KASHIPUR JN,LALKUA JN.,3
KATIHAR JN.,SILIGURI JN.,3
VARANASI JN.,LOKMANYA TILAK TERMINUS,3
NELLORE,SULLURUPETTA,3
KOLKATA,GORAKHPUR JN.,3
ERNAKULAM. JN,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),3
BANDRA TERMINUS,JAIPUR JN.,3
JIND JN,ROHTAK JN.,3
TRIVANDRUM CENTRAL,MANGALORE CENTRAL,3
TRIVANDRUM CENTRAL,NAGERCOIL JN.,3
ASANSOL MAIN,JASIDIH JN.,3
BANDEL JN.,BARDDHAMAN JN.,3
ERNAKULAM. JN,KAYANKULAM JN,3
ERNAKULAM. JN,HAZRAT NIZAMUDDIN JN,3
BANDRA TERMINUS,BIKANER JN.,3
SEALDAH,GOBARDANGA,3
TRIVANDRUM CENTRAL,SILCHAR,3
RANCHI,HOWRAH JN.,3
TUMKUR,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),3
TUMSAR RD,TIRODI,3
MUMBAI CENTRAL,NEW DELHI,3
KOLKATA,LALGOLA,3
MERTA ROAD JN.,BIKANER JN.,3
REPALLE,TENALI JN.,3
VIJAYWADA JN.,SECUNDERABAD JN.,3
MUZAFFARPUR JN.,RAXAUL JN.,3
VILLUPURAM JN.,PONDICHERRY,3
VIJAYWADA JN.,TENALI JN.,3
DILDARNAGAR JN,TARIGHAT,3
ALLAHABAD CITY,MANDUADIH,3
VILLUPURAM JN.,MAYILADUTURAI JN.,3
MUZAFFARPUR JN.,SAMASTIPUR JN.,3
DERABABA NANAK,VERKA JN.,3
DELHI-SARAI ROHILLA,BIKANER JN.,3
VADODARA JN.,CHHOTA UDEPUR,3
MYSORE JN.,CHENNAI CENTRAL,3
KOTA,JHALAWAR CITY,3
SEALDAH,RAMPUR HAT,3
ASANSOL MAIN,DHANBAD JN.,3
DIGHA FS,HOWRAH JN.,3
MYSORE JN.,TALGUPPA,3
CUTTACK JN.,PARADEEP,3
RAXAUL JN.,MUZAFFARPUR JN.,3
NAGDA JN,UJJAIN JN,3
DUMKA,JASIDIH JN.,3
KAKINADA TOWN,SECUNDERABAD JN.,3
KARMALI,CST-MUMBAI,3
PURNEA JN.,SAHARSA JN.,3
RATANAGARH JN,SARDARSAHAR,3
MEDCHAL,FALAKNUMA,3
KRISHNA NAGAR CITY JN.,RANAGHAT JN.,3
MAYILADUTURAI JN.,VILLUPURAM JN.,3
KRISHNA NAGAR CITY JN.,LALGOLA,3
KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),TUMKUR,3
DIVA JN,VASAI ROAD,3
UDHAGAMANDALAM,COONOOR,3
KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),RAMANAGARAM,3
ALIGARH JN.,DELHI JN.,3
