Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Service_Category
55165,CPR-DDA PASS,CHHAPRA JN.,DURAUNDHA JN,WEDNESDAY,Weekday
55166,DDA-CPR PASS,DURAUNDHA JN,CHHAPRA JN.,WEDNESDAY,Weekday
55167,DDA-SV PASSE,DURAUNDHA JN,SIWAN JN.,THURSDAY,Weekday
55168,SV-DDA PASSE,SIWAN JN.,DURAUNDHA JN,SATURDAY,Weekend
55169,DDA-SV PASSE,DURAUNDHA JN,SIWAN JN.,TUESDAY,Weekday
55170,SV-DDA PASSE,SIWAN JN.,DURAUNDHA JN,SUNDAY,Weekend
55171,DDA-MGZ PASS,DURAUNDHA JN,MAHARAJGANJ,THURSDAY,Weekday
55172,MGZ-DDA PASS,MAHARAJGANJ,DURAUNDHA JN,THURSDAY,Weekday
55173,DDA-MGZ PASS,DURAUNDHA JN,MAHARAJGANJ,THURSDAY,Weekday
55174,MGZ-DDA PASS,MAHARAJGANJ,DURAUNDHA JN,WEDNESDAY,Weekday
55175,DDA-MGZ PASS,DURAUNDHA JN,MAHARAJGANJ,SUNDAY,Weekend
55176,MGZ-DDA PASS,MAHARAJGANJ,DURAUNDHA JN,SATURDAY,Weekend
55177,DDA-MGZ PASS,DURAUNDHA JN,MAHARAJGANJ,SUNDAY,Weekend
55178,MGZ-DDA PASS,MAHARAJGANJ,DURAUNDHA JN,TUESDAY,Weekday
55179,DDA-MGZ PASS,DURAUNDHA JN,MAHARAJGANJ,WEDNESDAY,Weekday
55180,MGZ-DDA PASS,MAHARAJGANJ,DURAUNDHA JN,THURSDAY,Weekday
55181,THE-CI-PASSE,THAWE JN.,CHHAPRA KACHEHRI,TUESDAY,Weekday
55182,THE-CI  PASS,CHHAPRA KACHEHRI,THAWE JN.,SATURDAY,Weekend
55183,CI-MHC PASSE,THAWE JN.,CHHAPRA KACHEHRI,SATURDAY,Weekend
55184,CI-THE PASSE,CHHAPRA KACHEHRI,THAWE JN.,SUNDAY,Weekend
55207,MFP-NKE PASS,MUZAFFARPUR JN.,NARKATIAGANJ JN.,TUESDAY,Weekday
55208,NKE-MFP PASS,NARKATIAGANJ JN.,MUZAFFARPUR JN.,FRIDAY,Weekday
55209,MFP-NKE PASS,MUZAFFARPUR JN.,NARKATIAGANJ JN.,WEDNESDAY,Weekday
55211,MFP-RXL PASS,MUZAFFARPUR JN.,RAXAUL JN.,SATURDAY,Weekend
55212,RXL-MFP PASS,RAXAUL JN.,MUZAFFARPUR JN.,MONDAY,Weekday
55213,MFP-NKE PASS,MUZAFFARPUR JN.,NARKATIAGANJ JN.,THURSDAY,Weekday
55214,NKE-MFP  PAS,NARKATIAGANJ JN.,MUZAFFARPUR JN.,SUNDAY,Weekend
55215,MFP-PPTA PAS,MUZAFFARPUR JN.,PATLIPUTRA,FRIDAY,Weekday
55216,PPTA-MFP PAS,PATLIPUTRA,MUZAFFARPUR JN.,WEDNESDAY,Weekday
55217,MFP-PPTA PAS,MUZAFFARPUR JN.,PATLIPUTRA,THURSDAY,Weekday
55218,PPTA-MFP PAS,PATLIPUTRA,MUZAFFARPUR JN.,SATURDAY,Weekend
55220,NKE-MFP  PAS,NARKATIAGANJ JN.,MUZAFFARPUR JN.,SATURDAY,Weekend
55221,KIR-BJU PASS,KATIHAR JN.,BARAUNI JN.,WEDNESDAY,Weekday
55222,BJU-KIR PASS,BARAUNI JN.,KATIHAR JN.,SATURDAY,Weekend
55223,KIR-DBG PASS,KATIHAR JN.,DARBHANGA JN.,WEDNESDAY,Weekday
55224,DBG-KIR PASS,DARBHANGA JN.,KATIHAR JN.,THURSDAY,Weekday
55225,MFP-RXL PAS,MUZAFFARPUR JN.,RAXAUL JN.,FRIDAY,Weekday
55226,RXL-MFP PAS,RAXAUL JN.,MUZAFFARPUR JN.,SUNDAY,Weekend
55227,SPJ-MFP PASS,SAMASTIPUR JN.,MUZAFFARPUR JN.,TUESDAY,Weekday
55228,MFP-SPJ PASS,MUZAFFARPUR JN.,SAMASTIPUR JN.,SATURDAY,Weekend
55229,BJU-PPTA PAS,BARAUNI JN.,PATLIPUTRA,TUESDAY,Weekday
55230,PPTA-BJU PAS,PATLIPUTRA,BARAUNI JN.,MONDAY,Weekday
55231,PPTA-PNBE PA,PATLIPUTRA,PATNA JN.,MONDAY,Weekday
55232,PNBE-PPTA PA,PATNA JN.,PATLIPUTRA,SUNDAY,Weekend
55237,BJU-SPJ PASS,BARAUNI JN.,SAMASTIPUR JN.,WEDNESDAY,Weekday
55238,SPJ-BJU PASS,SAMASTIPUR JN.,BARAUNI JN.,WEDNESDAY,Weekday
55239,SPJ-MFP PASS,SAMASTIPUR JN.,MUZAFFARPUR JN.,TUESDAY,Weekday
55240,MFP-SPJ PASS,MUZAFFARPUR JN.,SAMASTIPUR JN.,WEDNESDAY,Weekday
55301,MB-KGM  PASS,MORADABAD JN.,KATHGODAM,TUESDAY,Weekday
55302,KGM-MB PASSE,KATHGODAM,MORADABAD JN.,SATURDAY,Weekend
55303,MB-KGM PASSE,MORADABAD JN.,KATHGODAM,SATURDAY,Weekend
55304,KGM-MB PASSE,KATHGODAM,MORADABAD JN.,SUNDAY,Weekend
55305,MB-RMR PASSE,MORADABAD JN.,RAMNAGAR,THURSDAY,Weekday
55306,RMR-MB  PASS,RAMNAGAR,MORADABAD JN.,SATURDAY,Weekend
55307,MB-RMR  PASS,MORADABAD JN.,RAMNAGAR,FRIDAY,Weekday
55308,RMR-MB  PASS,RAMNAGAR,MORADABAD JN.,THURSDAY,Weekday
55309,MB-RMR  PASS,MORADABAD JN.,RAMNAGAR,SUNDAY,Weekend
55310,RMR-MB  PASS,RAMNAGAR,MORADABAD JN.,MONDAY,Weekday
55311,MB-KPV  PASS,MORADABAD JN.,KASHIPUR JN,TUESDAY,Weekday
55312,KPV-MB PASSE,KASHIPUR JN,MORADABAD JN.,TUESDAY,Weekday
55313,KPV-RMR PASS,KASHIPUR JN,RAMNAGAR,MONDAY,Weekday
55314,RMR-KPV  PAS,RAMNAGAR,KASHIPUR JN,WEDNESDAY,Weekday
55315,LKU-KPV  PAS,LALKUA JN.,KASHIPUR JN,MONDAY,Weekday
55316,KPV-LKU PASS,KASHIPUR JN,LALKUA JN.,TUESDAY,Weekday
